노선명,역명,승차총승객수,하차총승객수
2호선,방배,20781,21630
2호선,사당,42896,46812
2호선,낙성대(강감찬),30661,29615
2호선,서울대입구(관악구청),51421,50135
2호선,봉천,26336,24549
2호선,신림,59011,56444
2호선,신대방,27941,27154
2호선,구로디지털단지,64091,63713
2호선,대림(구로구청),26193,26849
2호선,신도림,53652,52257
2호선,문래,25501,25932
2호선,영등포구청,24384,25189
2호선,당산,20891,24560
2호선,합정,33973,36793
2호선,홍대입구,68462,73413
2호선,신촌,42978,44192
2호선,이대,20020,22011
2호선,아현,12448,11535
2호선,충정로(경기대입구),11554,12244
2호선,용답,3400,3436
2호선,신답,1859,2080
2호선,신설동,3667,3599
2호선,도림천,1369,1476
2호선,양천구청,7869,8420
2호선,신정네거리,11575,11927
2호선,용두(동대문구청),2771,2837
3호선,지축,7981,7993
3호선,구파발,24854,24039
3호선,연신내,38370,36487
3호선,불광,18048,19463
3호선,녹번,18157,16343
3호선,홍제,20952,19983
3호선,무악재,5139,4955
3호선,독립문,8564,9037
3호선,경복궁(정부서울청사),31762,32946
3호선,안국,31854,33011
3호선,종로3가,12698,14456
3호선,을지로3가,13434,13494
3호선,충무로,4,0
3호선,동대입구,12960,15091
3호선,약수,14583,14071
3호선,금호,9154,8362
3호선,옥수,10027,10151
3호선,압구정,33560,36470
3호선,신사,30330,31689
3호선,잠원,6102,5736
3호선,고속터미널,44962,41264
3호선,교대(법원.검찰청),18797,11420
3호선,남부터미널(예술의전당),31960,32407
3호선,양재(서초구청),42290,46759
3호선,매봉,14108,13788
3호선,도곡,5719,5754
3호선,대치,13002,13023
3호선,학여울,4104,4152
3호선,대청,11956,11136
3호선,일원,12601,12102
3호선,수서,20452,20901
3호선,가락시장,10283,10236
3호선,경찰병원,8442,8512
3호선,오금,7581,6691
4호선,당고개,10833,9188
4호선,상계,22158,20775
4호선,노원,20873,24510
4호선,창동,28218,29847
4호선,쌍문,31947,29781
4호선,수유(강북구청),37700,37384
4호선,미아(서울사이버대학),17310,16649
4호선,미아사거리,29339,28996
4호선,길음,25137,25156
4호선,성신여대입구(돈암),23757,22640
4호선,한성대입구(삼선교),16771,15926
4호선,혜화,42289,42489
4호선,동대문,22825,23740
4호선,동대문역사문화공원(DDP),21448,19087
4호선,충무로,36796,37847
4호선,명동,36745,39208
4호선,회현(남대문시장),30625,32065
4호선,서울역,14215,22602
4호선,숙대입구(갈월),17145,16383
4호선,삼각지,6483,7157
4호선,신용산,20909,22155
4호선,이촌(국립중앙박물관),8621,9591
4호선,동작(현충원),1854,1933
4호선,총신대입구(이수),20903,22818
4호선,사당,28738,25365
4호선,남태령,1515,1286
5호선,방화,7667,7370
5호선,개화산,6832,6496
5호선,김포공항,9564,7545
5호선,송정,6914,6566
5호선,마곡,13353,13448
5호선,발산,24453,25259
5호선,우장산,16509,16196
5호선,화곡,31948,29783
5호선,까치산,31587,30049
5호선,신정(은행정),15356,12657
5호선,목동,18760,20109
5호선,오목교(목동운동장앞),22946,24556
5호선,양평,8570,8415
5호선,영등포구청,5336,5295
5호선,영등포시장,11973,12326
5호선,신길,5328,5452
5호선,여의도,31796,34326
5호선,여의나루,15710,17194
5호선,마포,16725,16932
5호선,공덕,16583,17455
5호선,애오개,7648,7490
5호선,충정로(경기대입구),5478,5705
5호선,서대문,23480,24435
5호선,광화문(세종문화회관),38781,40964
5호선,종로3가,16504,16265
5호선,을지로4가,7749,7701
5호선,동대문역사문화공원(DDP),3437,4144
5호선,청구,4326,4006
5호선,신금호,7261,7795
5호선,행당,9267,8130
5호선,왕십리(성동구청),4953,5486
5호선,마장,6696,6288
5호선,답십리,18222,16458
5호선,장한평,21628,21285
5호선,군자(능동),12942,13947
5호선,아차산(어린이대공원후문),16438,15823
5호선,광나루(장신대),16049,14961
5호선,천호(풍납토성),19961,19990
5호선,강동,20070,19771
5호선,길동,8789,9069
5호선,굽은다리(강동구민회관앞),10474,9941
5호선,명일,10238,10429
5호선,고덕,11683,11647
5호선,상일동,16501,15371
5호선,둔촌동,9643,9693
5호선,올림픽공원(한국체대),5580,4944
5호선,방이,7832,8257
5호선,오금,4190,4331
5호선,개롱,7409,7527
5호선,거여,11537,11248
5호선,마천,8652,7817
5호선,강일,6496,5962
5호선,미사,19457,19635
5호선,하남풍산,4907,4986
5호선,하남시청(덕풍·신장),8839,8493
5호선,하남검단산,7058,6664
6호선,응암,19673,19384
6호선,역촌,4293,5154
6호선,불광,4919,4851
6호선,독바위,3196,3306
6호선,연신내,3,0
6호선,구산,8789,6524
6호선,새절(신사),14750,13741
6호선,증산(명지대앞),11232,11218
6호선,디지털미디어시티,17282,18836
6호선,월드컵경기장(성산),6777,7043
6호선,마포구청,16566,14832
6호선,망원,15705,16829
6호선,합정,14485,14177
6호선,상수,10732,12478
